City,Price,Latitude,Longitude,Distance_from_Toranagallu_km
Adilabad,97.10 ₹/L,19.671266,78.532922,
Agar Malwa,92.73 ₹/L,34.03972,74.52567,
Agra,87.83 ₹/L,27.189062,78.010888,
Ahmadnagar,90.95 ₹/L,19.106443,74.744687,
Ahmedabad,90.57 ₹/L,23.012369,72.561743,
Aizawl,87.97 ₹/L,23.733988,92.71808,
Ajmer,89.88 ₹/L,26.46962,74.638119,
Akola,90.69 ₹/L,20.704737,77.005973,
Alappuzha,95.39 ₹/L,9.495097,76.328394,
Aligarh,88.24 ₹/L,27.903723,78.075896,
Alipurduar,92.51 ₹/L,26.489937,89.526585,
Alirajpur,93.40 ₹/L,22.30428,74.35511,
Allahabad,89.07 ₹/L,25.451562,81.838542,
Almora,89.76 ₹/L,29.600426,79.660941,
Alwar,90.87 ₹/L,27.568676,76.613584,
Ambala,88.50 ₹/L,30.387922,76.775218,
Ambedkarnagar,88.49 ₹/L,22.687581,79.370366,
Amethi Csm Nagar,88.33 ₹/L,27.42397,77.09922,
Amravati,91.94 ₹/L,20.9287,77.756453,
Amreli,90.67 ₹/L,21.598785,71.217444,
Amritsar,88.09 ₹/L,31.640943,74.872782,
Amroha,88.35 ₹/L,28.894982,78.469362,
Anand,90.02 ₹/L,22.559118,72.961052,
Anantapur,97.41 ₹/L,14.680705,77.608785,
Anantnag,85.47 ₹/L,33.737598,75.144925,
Angul,94.20 ₹/L,20.84286,85.101051,
Anupur,93.40 ₹/L,12.54089,77.85528,
Araria,93.19 ₹/L,26.134553,87.462616,
Aravalli,91.33 ₹/L,16.620008,81.598798,
Ariyalur,93.60 ₹/L,11.13849,79.07556,
Arwal,92.03 ₹/L,25.24281,84.66571,
Ashoknagar,91.94 ₹/L,24.57659,77.731063,
Auraiya,88.31 ₹/L,26.465625,79.509881,
Aurangabad,93.16 ₹/L,19.879385,75.337101,
Azamgarh,88.62 ₹/L,26.067903,83.181975,
Badgam,87.06 ₹/L,34.01554,74.7205,
Badwani,93.21 ₹/L,22.687581,79.370366,
Bagalkot,91.47 ₹/L,16.18486,75.695713,
Bageshwar,89.07 ₹/L,29.8376,79.7714,
Baghpat,87.86 ₹/L,28.94442,77.21878,
Bahraich,88.37 ₹/L,27.577169,81.596155,
Baksa,89.76 ₹/L,26.666075,91.385966,
Balaghat,93.39 ₹/L,21.812465,80.190626,
Baleshwar,92.74 ₹/L,21.412265,86.775919,
Ballia,88.65 ₹/L,25.758945,84.150838,
Balod,93.90 ₹/L,20.73081,81.20578,
Balodabazar,93.94 ₹/L,22.687581,79.370366,
Balrampur,95.07 ₹/L,27.50449,82.352228,
Banas Kantha,90.94 ₹/L,24.306234,71.749611,
Banda,88.54 ₹/L,25.473041,80.332516,
Bandipora,87.49 ₹/L,34.507368,74.771071,
Bangalore,91.09 ₹/L,12.96557,77.60625,
Bangalore Rural,90.72 ₹/L,12.668854,77.308903,
Banka,92.48 ₹/L,24.88091,86.92257,
Bankura,92.74 ₹/L,23.209821,87.126274,
Banswara,91.50 ₹/L,23.548439,74.450037,
Barabanki,87.95 ₹/L,26.927434,81.195264,
Baramullah,87.65 ₹/L,22.687581,79.370366,
Baran,90.56 ₹/L,25.096476,76.515341,
Bareilly,88.07 ₹/L,28.352197,79.423704,
Bargarh,93.97 ₹/L,21.334931,83.61936,
Barmer,91.73 ₹/L,25.749884,71.397191,
Barnala,87.38 ₹/L,30.37627,75.546032,
Barpeta,90.14 ₹/L,26.32292,91.00632,
Bastar,95.06 ₹/L,19.20306,81.92959,
Basti,88.61 ₹/L,26.799655,82.748605,
Bathinda,87.36 ₹/L,30.207476,74.946392,
Begusarai,91.30 ₹/L,25.417058,86.135659,
Belgaum,91.77 ₹/L,15.870963,74.515855,
Bellary,92.04 ₹/L,15.143311,76.919669,
Bemetara,93.85 ₹/L,21.7,81.53333,
Betul,92.70 ₹/L,21.901095,77.896043,
Bhadradri Kothagudem,96.99 ₹/L,17.5546,80.61976,
Bhadrak,93.43 ₹/L,21.062371,86.503564,
Bhagalpur,92.21 ₹/L,25.250719,86.989792,
Bhandara,91.41 ₹/L,21.170458,79.656461,
Bharatpur,90.07 ₹/L,27.220663,77.494943,
Bharuch,90.62 ₹/L,21.706672,72.996777,
Bhavnagar,91.86 ₹/L,21.758598,72.146613,
Bhilwara,90.80 ₹/L,25.348197,74.636207,
Bhind,92.38 ₹/L,26.567821,78.78631,
Bhiwani,88.29 ₹/L,28.792487,76.138486,
Bhojpur,92.21 ₹/L,23.247385,69.669366,
Bhopal,91.68 ₹/L,23.235467,77.435763,
Bid,92.03 ₹/L,18.969979,75.935005,
Bidar,91.51 ₹/L,17.91385,77.530248,
Bijapur,95.06 ₹/L,16.829332,75.714611,
Bijnor,87.94 ₹/L,29.37292,78.135323,
Bikaner,91.72 ₹/L,28.012376,73.309239,
Bilaspur,94.03 ₹/L,22.077513,82.150116,
Birbhum,92.62 ₹/L,23.844068,87.634433,
Bishnupur,85.45 ₹/L,24.627922,93.759979,
Biswanath,90.73 ₹/L,26.089522,90.598193,
Bokaro,93.00 ₹/L,23.656529,86.144869,
Bolangir,94.20 ₹/L,20.703757,83.490408,
Bongaigaon,89.39 ₹/L,26.480198,90.555457,
Botad,91.51 ₹/L,22.169982,71.666214,
Boudh,94.19 ₹/L,20.83333,84.31667,
Budaun,87.73 ₹/L,28.03486,79.121877,
Bulandshahr,88.29 ₹/L,28.406767,77.849685,
Buldhana,92.03 ₹/L,20.533379,76.180441,
Bundi,90.21 ₹/L,25.44323,75.639998,
Burhanpur,93.40 ₹/L,21.31128,76.231417,
Buxar,92.72 ₹/L,25.567647,83.975398,
Cachar,90.15 ₹/L,24.811683,92.891651,
Central Delhi,87.67 ₹/L,28.648544,77.203044,
Chamba,87.43 ₹/L,32.556823,76.123772,
Chamoli,89.54 ₹/L,30.513415,79.619959,
Champawat,88.42 ₹/L,29.33502,80.07784,
Champhai,88.59 ₹/L,23.559346,93.235924,
Chamrajnagar,91.28 ₹/L,11.960112,77.110014,
Chandauli,87.77 ₹/L,25.25716,83.26787,
Chandel,85.65 ₹/L,24.219497,94.098468,
Chandigarh,82.45 ₹/L,30.728092,76.7784,
Chandrapur,90.93 ₹/L,19.957338,79.295814,
Changlang,82.20 ₹/L,27.13177,95.73486,
Charaideo,89.81 ₹/L,22.687581,79.370366,
Charki Dadri,88.30 ₹/L,24.37878,83.37838,
Chatra,93.92 ₹/L,24.20376,84.87032,
Chennai,92.49 ₹/L,13.066682,80.224741,
Chhatarpur,93.18 ₹/L,24.919816,79.583895,
Chhindware,93.39 ₹/L,22.687581,79.370366,
Chhotaudepur,90.57 ₹/L,22.687581,79.370366,
Chikkaballapura,91.56 ₹/L,13.567501,77.864941,
Chikmagalur,91.21 ₹/L,13.325665,75.774028,
Chirang,89.39 ₹/L,26.654717,90.586411,
Chitradurga,92.10 ₹/L,14.225618,76.398212,
Chitrakut,88.72 ₹/L,22.687581,79.370366,
Chittaurgarh,89.88 ₹/L,24.880612,74.622262,
Chittoor,98.17 ₹/L,13.21426,79.098711,
Churachandpur,85.60 ₹/L,24.33353,93.66999,
Churu,91.73 ₹/L,28.44841,74.637236,
Coimbatore,92.83 ₹/L,11.012683,76.989487,
Cooch Bihar,93.04 ₹/L,25.708465,85.573398,
Cuddalore,94.14 ₹/L,11.756931,79.763174,
Cuddapah,96.84 ₹/L,14.475873,78.823521,
Cuttack,92.81 ₹/L,20.469426,85.868048,
Dahod,91.23 ₹/L,22.834452,74.259128,
Dakshin Dinajpur,92.55 ₹/L,25.350213,88.594593,
Dakshin Kannad,90.79 ₹/L,20.25784,75.138,
Daman,87.94 ₹/L,20.42149,72.840775,
Damoh,92.50 ₹/L,23.835704,79.440425,
Dantewada,95.06 ₹/L,18.878011,80.785304,
Darbhanga,92.23 ₹/L,26.145605,85.897902,
Darjeeling,92.00 ₹/L,27.040622,88.265729,
