City,Price
Adilabad,97.10 ₹/L
Agar Malwa,92.73 ₹/L
Agra,87.83 ₹/L
Ahmadnagar,90.95 ₹/L
Ahmedabad,90.57 ₹/L
Aizawl,87.97 ₹/L
Ajmer,89.88 ₹/L
Akola,90.69 ₹/L
Alappuzha,95.39 ₹/L
Aligarh,88.24 ₹/L
Alipurduar,92.51 ₹/L
Alirajpur,93.40 ₹/L
Allahabad,89.07 ₹/L
Almora,89.76 ₹/L
Alwar,90.87 ₹/L
Ambala,88.50 ₹/L
Ambedkarnagar,88.49 ₹/L
Amethi Csm Nagar,88.33 ₹/L
Amravati,91.94 ₹/L
Amreli,90.67 ₹/L
Amritsar,88.09 ₹/L
Amroha,88.35 ₹/L
Anand,90.02 ₹/L
Anantapur,97.41 ₹/L
Anantnag,85.47 ₹/L
Angul,94.20 ₹/L
Anupur,93.40 ₹/L
Araria,93.19 ₹/L
Aravalli,91.33 ₹/L
Ariyalur,93.60 ₹/L
Arwal,92.03 ₹/L
Ashoknagar,91.94 ₹/L
Auraiya,88.31 ₹/L
Aurangabad,93.16 ₹/L
Azamgarh,88.62 ₹/L
Badgam,87.06 ₹/L
Badwani,93.21 ₹/L
Bagalkot,91.47 ₹/L
Bageshwar,89.07 ₹/L
Baghpat,87.86 ₹/L
Bahraich,88.37 ₹/L
Baksa,89.76 ₹/L
Balaghat,93.39 ₹/L
Baleshwar,92.74 ₹/L
Ballia,88.65 ₹/L
Balod,93.90 ₹/L
Balodabazar,93.94 ₹/L
Balrampur,95.07 ₹/L
Banas Kantha,90.94 ₹/L
Banda,88.54 ₹/L
Bandipora,87.49 ₹/L
Bangalore,91.09 ₹/L
Bangalore Rural,90.72 ₹/L
Banka,92.48 ₹/L
Bankura,92.74 ₹/L
Banswara,91.50 ₹/L
Barabanki,87.95 ₹/L
Baramullah,87.65 ₹/L
Baran,90.56 ₹/L
Bareilly,88.07 ₹/L
Bargarh,93.97 ₹/L
Barmer,91.73 ₹/L
Barnala,87.38 ₹/L
Barpeta,90.14 ₹/L
Bastar,95.06 ₹/L
Basti,88.61 ₹/L
Bathinda,87.36 ₹/L
Begusarai,91.30 ₹/L
Belgaum,91.77 ₹/L
Bellary,92.04 ₹/L
Bemetara,93.85 ₹/L
Betul,92.70 ₹/L
Bhadradri Kothagudem,96.99 ₹/L
Bhadrak,93.43 ₹/L
Bhagalpur,92.21 ₹/L
Bhandara,91.41 ₹/L
Bharatpur,90.07 ₹/L
Bharuch,90.62 ₹/L
Bhavnagar,91.86 ₹/L
Bhilwara,90.80 ₹/L
Bhind,92.38 ₹/L
Bhiwani,88.29 ₹/L
Bhojpur,92.21 ₹/L
Bhopal,91.68 ₹/L
Bid,92.03 ₹/L
Bidar,91.51 ₹/L
Bijapur,95.06 ₹/L
Bijnor,87.94 ₹/L
Bikaner,91.72 ₹/L
Bilaspur,94.03 ₹/L
Birbhum,92.62 ₹/L
Bishnupur,85.45 ₹/L
Biswanath,90.73 ₹/L
Bokaro,93.00 ₹/L
Bolangir,94.20 ₹/L
Bongaigaon,89.39 ₹/L
Botad,91.51 ₹/L
Boudh,94.19 ₹/L
Budaun,87.73 ₹/L
Bulandshahr,88.29 ₹/L
Buldhana,92.03 ₹/L
Bundi,90.21 ₹/L
Burhanpur,93.40 ₹/L
Buxar,92.72 ₹/L
Cachar,90.15 ₹/L
Central Delhi,87.67 ₹/L
Chamba,87.43 ₹/L
Chamoli,89.54 ₹/L
Champawat,88.42 ₹/L
Champhai,88.59 ₹/L
Chamrajnagar,91.28 ₹/L
Chandauli,87.77 ₹/L
Chandel,85.65 ₹/L
Chandigarh,82.45 ₹/L
Chandrapur,90.93 ₹/L
Changlang,82.20 ₹/L
Charaideo,89.81 ₹/L
Charki Dadri,88.30 ₹/L
Chatra,93.92 ₹/L
Chennai,92.49 ₹/L
Chhatarpur,93.18 ₹/L
Chhindware,93.39 ₹/L
Chhotaudepur,90.57 ₹/L
Chikkaballapura,91.56 ₹/L
Chikmagalur,91.21 ₹/L
Chirang,89.39 ₹/L
Chitradurga,92.10 ₹/L
Chitrakut,88.72 ₹/L
Chittaurgarh,89.88 ₹/L
Chittoor,98.17 ₹/L
Churachandpur,85.60 ₹/L
Churu,91.73 ₹/L
Coimbatore,92.83 ₹/L
Cooch Bihar,93.04 ₹/L
Cuddalore,94.14 ₹/L
Cuddapah,96.84 ₹/L
Cuttack,92.81 ₹/L
Dahod,91.23 ₹/L
Dakshin Dinajpur,92.55 ₹/L
Dakshin Kannad,90.79 ₹/L
Daman,87.94 ₹/L
Damoh,92.50 ₹/L
Dantewada,95.06 ₹/L
Darbhanga,92.23 ₹/L
Darjeeling,92.00 ₹/L
Darrang,90.18 ₹/L
Datia,92.30 ₹/L
Dausa,90.88 ₹/L
Davangere,92.10 ₹/L
Dehradun,88.39 ₹/L
Delhi Shahdara,87.67 ₹/L
Deogarh,92.29 ₹/L
Deoria,87.67 ₹/L
Devbhumi Dwarka,90.88 ₹/L
Dewas,91.83 ₹/L
Dhalai,85.38 ₹/L
Dhamtari,93.62 ₹/L
Dhanbad,92.93 ₹/L
Dhar,92.81 ₹/L
Dharmapuri,94.02 ₹/L
Dharwad,90.84 ₹/L
Dhaulpur,90.51 ₹/L
Dhemaji,90.92 ₹/L
Dhenkanal,93.59 ₹/L
Dhuburi,90.13 ₹/L
Dhule,90.99 ₹/L
Dibang Valley,82.21 ₹/L
Dibrugarh,89.79 ₹/L
Dima Hasao,91.27 ₹/L
Dimapur,88.22 ₹/L
Dindigul,92.93 ₹/L
Dindori,93.40 ₹/L
Diu,88.88 ₹/L
Doda,85.46 ₹/L
Dumka,93.36 ₹/L
Dungarpur,91.57 ₹/L
Durg,93.72 ₹/L
East Champaran,92.70 ₹/L
East Delhi,87.67 ₹/L
East District,89.05 ₹/L
East Garo Hills,87.09 ₹/L
East Godavari,96.94 ₹/L
East Imphal,85.35 ₹/L
East Jaintia Hills,87.50 ₹/L
East Khameng,82.12 ₹/L
East Khasi Hills,87.88 ₹/L
East Siang,81.32 ₹/L
East Singhbhum,92.55 ₹/L
Ernakulam,94.48 ₹/L
Erode,92.97 ₹/L
Etah,87.84 ₹/L
